ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.20,192.168.4.133,1073,56668,1024,0x0002
192.168.4.21,192.168.4.133,8200,56668,1024,0x0002
192.168.4.75,192.168.4.133,89,56668,1024,0x0002
192.168.4.77,192.168.4.133,44443,56668,1024,0x0002
192.168.4.113,192.168.4.133,19842,56668,1024,0x0002
192.168.4.20,192.168.4.133,1641,56668,1024,0x0002
192.168.4.21,192.168.4.133,10004,56668,1024,0x0002
192.168.4.75,192.168.4.133,7920,56668,1024,0x0002
192.168.4.77,192.168.4.133,6543,56668,1024,0x0002
192.168.4.113,192.168.4.133,9998,56668,1024,0x0002
192.168.4.20,192.168.4.133,1186,56668,1024,0x0002
192.168.4.21,192.168.4.133,12000,56668,1024,0x0002
192.168.4.75,192.168.4.133,10566,56668,1024,0x0002
192.168.4.77,192.168.4.133,11111,56668,1024,0x0002
192.168.4.113,192.168.4.133,2002,56668,1024,0x0002
192.168.4.133,192.168.4.21,56668,9535,0,0x0014
192.168.4.133,192.168.4.21,56668,5962,0,0x0014
192.168.4.133,192.168.4.21,56668,3283,0,0x0014
192.168.4.133,192.168.4.21,56668,28201,0,0x0014
192.168.4.133,192.168.4.21,56668,4002,0,0x0014
192.168.4.133,192.168.4.21,56668,5998,0,0x0014
192.168.4.133,192.168.4.21,56668,50001,0,0x0014
192.168.4.133,192.168.4.21,56668,1068,0,0x0014
192.168.4.133,192.168.4.21,56668,9929,0,0x0014
192.168.4.133,192.168.4.20,56668,5962,0,0x0014
192.168.4.133,192.168.4.20,56668,3283,0,0x0014
192.168.4.133,192.168.4.20,56668,7001,0,0x0014
192.168.4.133,192.168.4.20,56668,4002,0,0x0014
192.168.4.133,192.168.4.20,56668,1974,0,0x0014
192.168.4.133,192.168.4.20,56668,8045,0,0x0014
192.168.4.133,192.168.4.20,56668,5998,0,0x0014
192.168.4.133,192.168.4.20,56668,50001,0,0x0014
192.168.4.133,192.168.4.20,56668,512,0,0x0014
192.168.4.133,192.168.4.20,56668,9929,0,0x0014
192.168.4.133,192.168.4.20,56668,5987,0,0x0014
192.168.4.133,192.168.4.20,56668,9111,0,0x0014
192.168.4.133,192.168.4.20,56668,2607,0,0x0014
192.168.4.133,192.168.4.20,56668,9000,0,0x0014
192.168.4.133,192.168.4.20,56668,28201,0,0x0014
192.168.4.133,192.168.4.20,56668,1718,0,0x0014
192.168.4.133,192.168.4.21,56668,9000,0,0x0014
192.168.4.133,192.168.4.20,56668,9535,0,0x0014
192.168.4.133,192.168.4.20,56668,30718,0,0x0014
192.168.4.21,192.168.4.133,6789,56668,1024,0x0002
192.168.4.75,192.168.4.133,7019,56668,1024,0x0002
192.168.4.77,192.168.4.133,1057,56668,1024,0x0002
192.168.4.113,192.168.4.133,32779,56668,1024,0x0002
192.168.4.20,192.168.4.133,8652,56668,1024,0x0002
192.168.4.21,192.168.4.133,7004,56668,1024,0x0002
192.168.4.75,192.168.4.133,9040,56668,1024,0x0002
192.168.4.77,192.168.4.133,32771,56668,1024,0x0002
192.168.4.113,192.168.4.133,1310,56668,1024,0x0002
192.168.4.20,192.168.4.133,8200,56668,1024,0x0002
192.168.4.21,192.168.4.133,8290,56668,1024,0x0002
192.168.4.75,192.168.4.133,5560,56668,1024,0x0002
192.168.4.77,192.168.4.133,1658,56668,1024,0x0002
192.168.4.113,192.168.4.133,125,56668,1024,0x0002
192.168.4.20,192.168.4.133,10004,56668,1024,0x0002
192.168.4.21,192.168.4.133,2106,56668,1024,0x0002
192.168.4.75,192.168.4.133,64623,56668,1024,0x0002
192.168.4.77,192.168.4.133,7007,56668,1024,0x0002
192.168.4.113,192.168.4.133,1060,56668,1024,0x0002
192.168.4.20,192.168.4.133,12000,56668,1024,0x0002
192.168.4.21,192.168.4.133,464,56668,1024,0x0002
192.168.4.75,192.168.4.133,20221,56668,1024,0x0002
192.168.4.77,192.168.4.133,3851,56668,1024,0x0002
192.168.4.113,192.168.4.133,1090,56668,1024,0x0002
192.168.4.20,192.168.4.133,6789,56668,1024,0x0002
192.168.4.21,192.168.4.133,32773,56668,1024,0x0002
192.168.4.75,192.168.4.133,3390,56668,1024,0x0002
192.168.4.77,192.168.4.133,1666,56668,1024,0x0002
192.168.4.133,192.168.4.21,56668,2607,0,0x0014
192.168.4.133,192.168.4.75,56668,1051,0,0x0014
192.168.4.133,192.168.4.21,56668,5987,0,0x0014
192.168.4.133,192.168.4.21,56668,1145,0,0x0014
192.168.4.133,192.168.4.21,56668,5033,0,0x0014
192.168.4.133,192.168.4.75,56668,18040,0,0x0014
192.168.4.133,192.168.4.21,56668,1718,0,0x0014
192.168.4.133,192.168.4.21,56668,146,0,0x0014
192.168.4.133,192.168.4.21,56668,30718,0,0x0014
192.168.4.133,192.168.4.75,56668,2222,0,0x0014
192.168.4.133,192.168.4.75,56668,4,0,0x0014
192.168.4.133,192.168.4.77,56668,2008,0,0x0014
192.168.4.133,192.168.4.77,56668,32770,0,0x0014
192.168.4.133,192.168.4.113,56668,2002,0,0x0014
192.168.4.133,192.168.4.113,56668,2106,0,0x0014
192.168.4.133,192.168.4.113,56668,9917,0,0x0014
192.168.4.133,192.168.4.113,56668,19842,0,0x0014
192.168.4.133,192.168.4.113,56668,464,0,0x0014
192.168.4.133,192.168.4.77,56668,7070,0,0x0014
192.168.4.133,192.168.4.77,56668,3800,0,0x0014
192.168.4.133,192.168.4.77,56668,2170,0,0x0014
192.168.4.133,192.168.4.113,56668,2638,0,0x0014
192.168.4.133,192.168.4.77,56668,1051,0,0x0014
192.168.4.133,192.168.4.77,56668,7019,0,0x0014
192.168.4.133,192.168.4.77,56668,1037,0,0x0014
192.168.4.133,192.168.4.113,56668,9998,0,0x0014
192.168.4.133,192.168.4.77,56668,10566,0,0x0014
192.168.4.133,192.168.4.77,56668,32775,0,0x0014
192.168.4.133,192.168.4.113,56668,32773,0,0x0014
