tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,labeled_data
55209,2393,0,0x0014,0
55209,5221,0,0x0014,0
55209,1163,0,0x0014,0
55209,1047,0,0x0014,0
55209,301,0,0x0014,0
55209,1124,0,0x0014,0
34324,443,954,0x0010,0
55209,726,0,0x0014,0
55209,3690,0,0x0014,0
55209,406,0,0x0014,0
55209,1812,0,0x0014,0
55209,2968,0,0x0014,0
55209,1272,0,0x0014,0
55209,12345,0,0x0014,0
55209,3945,0,0x0014,0
55209,9111,0,0x0014,0
55209,54045,0,0x0014,0
55209,13456,0,0x0014,0
55209,366,0,0x0014,0
55209,10628,0,0x0014,0
55209,1334,0,0x0014,0
55209,9090,0,0x0014,0
55209,20031,0,0x0014,0
55209,9200,0,0x0014,0
55209,8222,0,0x0014,0
55209,1247,0,0x0014,0
55209,416,0,0x0014,0
55209,3814,0,0x0014,0
55209,1053,0,0x0014,0
55209,9618,0,0x0014,0
55209,2196,0,0x0014,0
55209,1099,0,0x0014,0
55209,2040,0,0x0014,0
8800,55209,1024,0x0000,1
144,55209,1024,0x0000,1
2288,55209,1024,0x0000,1
4550,55209,1024,0x0000,1
5987,55209,1024,0x0000,1
55209,1069,0,0x0014,0
55209,6699,0,0x0014,0
56738,55209,1024,0x0000,1
1077,55209,1024,0x0000,1
55209,1259,0,0x0014,0
55209,3800,0,0x0014,0
55209,2967,0,0x0014,0
55209,20005,0,0x0014,0
55209,2366,0,0x0014,0
55209,40193,0,0x0014,0
55209,8082,0,0x0014,0
32768,55209,1024,0x0000,1
722,55209,1024,0x0000,1
9040,55209,1024,0x0000,1
1087,55209,1024,0x0000,1
2602,55209,1024,0x0000,1
1092,55209,1024,0x0000,1
3920,55209,1024,0x0000,1
5801,55209,1024,0x0000,1
1089,55209,1024,0x0000,1
9898,55209,1024,0x0000,1
5225,55209,1024,0x0000,1
5555,55209,1024,0x0000,1
55209,1501,0,0x0014,0
55209,16001,0,0x0014,0
55209,15004,0,0x0014,0
55209,89,0,0x0014,0
55209,1234,0,0x0014,0
55209,1864,0,0x0014,0
55209,10025,0,0x0014,0
55209,1062,0,0x0014,0
55209,1185,0,0x0014,0
55209,27352,0,0x0014,0
55209,4000,0,0x0014,0
55209,8086,0,0x0014,0
55209,8194,0,0x0014,0
9593,55209,1024,0x0000,1
2718,55209,1024,0x0000,1
6543,55209,1024,0x0000,1
8007,55209,1024,0x0000,1
2107,55209,1024,0x0000,1
40911,55209,1024,0x0000,1
1600,55209,1024,0x0000,1
20222,55209,1024,0x0000,1
500,55209,1024,0x0000,1
2043,55209,1024,0x0000,1
9876,55209,1024,0x0000,1
1063,55209,1024,0x0000,1
3300,55209,1024,0x0000,1
5100,55209,1024,0x0000,1
5000,55209,1024,0x0000,1
6004,55209,1024,0x0000,1
2557,55209,1024,0x0000,1
5810,55209,1024,0x0000,1
2022,55209,1024,0x0000,1
5002,55209,1024,0x0000,1
2910,55209,1024,0x0000,1
30,55209,1024,0x0000,1
10024,55209,1024,0x0000,1
1840,55209,1024,0x0000,1
5922,55209,1024,0x0000,1
5405,55209,1024,0x0000,1
