ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.106,192.168.4.133,34571,52825,1024,0x0002
192.168.4.136,192.168.4.133,3001,52825,1024,0x0002
192.168.4.21,192.168.4.133,5560,52825,1024,0x0002
192.168.4.77,192.168.4.133,8011,52825,1024,0x0002
192.168.4.136,192.168.4.133,3052,52825,1024,0x0002
192.168.4.133,192.168.4.21,52825,1183,0,0x0014
192.168.4.133,192.168.4.77,52825,1218,0,0x0014
192.168.4.133,192.168.4.106,52825,2500,0,0x0014
192.168.4.133,192.168.4.77,52825,2525,0,0x0014
192.168.4.77,192.168.4.133,1095,52825,1024,0x0002
192.168.4.78,192.168.4.133,5910,52825,1024,0x0002
192.168.4.106,192.168.4.133,1087,52825,1024,0x0002
192.168.4.136,192.168.4.133,32774,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,32778,0,0x0014
192.168.4.133,192.168.4.77,52825,8011,0,0x0014
192.168.4.136,192.168.4.133,6580,52827,1024,0x0002
192.168.4.136,192.168.4.133,9535,52827,1024,0x0002
192.168.4.77,192.168.4.133,13783,52825,1024,0x0002
192.168.4.78,192.168.4.133,7512,52825,1024,0x0002
192.168.4.1,192.168.4.133,49154,52825,1024,0x0002
192.168.4.21,192.168.4.133,1076,52825,1024,0x0002
192.168.4.133,192.168.4.78,52825,10621,0,0x0014
192.168.4.133,192.168.4.21,52825,4998,0,0x0014
192.168.4.133,192.168.4.21,52825,4899,0,0x0014
192.168.4.133,192.168.4.21,52825,5560,0,0x0014
192.168.4.133,192.168.4.21,52825,6565,0,0x0014
192.168.4.133,192.168.4.77,52825,1095,0,0x0014
192.168.4.133,192.168.4.106,52825,34571,0,0x0014
192.168.4.133,192.168.4.106,52825,3325,0,0x0014
192.168.4.133,192.168.4.106,52825,8002,0,0x0014
192.168.4.136,192.168.4.133,2809,52827,1024,0x0002
192.168.4.106,192.168.4.133,52822,52825,1024,0x0002
192.168.4.136,192.168.4.133,3005,52825,1024,0x0002
192.168.4.21,192.168.4.133,1039,52825,1024,0x0002
192.168.4.77,192.168.4.133,259,52825,1024,0x0002
192.168.4.78,192.168.4.133,49153,52825,1024,0x0002
192.168.4.106,192.168.4.133,1594,52825,1024,0x0002
192.168.4.136,192.168.4.133,2366,52825,1024,0x0002
192.168.4.21,192.168.4.133,9594,52825,1024,0x0002
192.168.4.77,192.168.4.133,20828,52825,1024,0x0002
192.168.4.78,192.168.4.133,9593,52825,1024,0x0002
192.168.4.133,192.168.4.1,52825,49154,0,0x0014
192.168.4.133,192.168.4.77,52825,13783,0,0x0014
192.168.4.133,192.168.4.78,52825,458,0,0x0014
192.168.4.133,192.168.4.78,52825,5910,0,0x0014
192.168.4.133,192.168.4.78,52825,6901,0,0x0014
192.168.4.133,192.168.4.78,52825,8873,0,0x0014
